2016 Census Profiles Files / Profile of Census Tracts

"COL0","CTUID"
"COL1","Population, 2016"
"COL2","Land area in square kilometres"
"COL3","Journey to Work (25% sample) - Mode = Total"
"COL4","Journey to Work (25% sample) - Mode = Car, truck, van - as a driver"
"COL5","Journey to Work (25% sample) - Mode = Car, truck, van - as a passenger"
"COL6","Journey to Work (25% sample) - Mode = Public transit"
"COL7","Journey to Work (25% sample) - Mode = Walked"
"COL8","Journey to Work (25% sample) - Mode = Bicycle"
"COL9","Journey to Work (25% sample) - Mode = Other method"
"COL10","Journey to Work (25% sample) - Duration = Total"
"COL11","Journey to Work - (25% sample) - Duration = Less than 15 minutes"
"COL12","Journey to Work - (25% sample) - Duration = 15 to 29 minutes"
"COL13","Journey to Work - (25% sample) - Duration = 30 to 44 minutes"
"COL14","Journey to Work - (25% sample) - Duration = 45 to 59 minutes"
"COL15","Journey to Work - (25% sample) - Duration = Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data / 60 minutes and over"

