"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15"
5350000.00,5928040.00,5905.84,2747055.00,1714795.00,154360.00,667255.00,144130.00,39320.00,27190.00,2747050.00,391400.00,783980.00,726575.00,372095.00,473000.00
5350001.00,595.00,6.10,330.00,140.00,10.00,110.00,25.00,30.00,15.00,330.00,45.00,95.00,95.00,55.00,45.00
5350002.00,620.00,3.17,275.00,65.00,10.00,85.00,40.00,75.00,0.00,275.00,40.00,20.00,85.00,45.00,85.00
5350003.00,749.00,0.91,280.00,125.00,15.00,115.00,10.00,20.00,0.00,280.00,0.00,110.00,85.00,45.00,45.00
5350004.00,6686.00,0.34,3270.00,670.00,95.00,1795.00,290.00,385.00,35.00,3270.00,295.00,870.00,1045.00,520.00,540.00
5350005.00,6424.00,0.38,3405.00,845.00,60.00,1685.00,450.00,320.00,45.00,3405.00,370.00,995.00,1200.00,420.00,425.00
5350006.00,0.00,0.01,,,,,,,,,,,,,
5350007.01,3237.00,0.20,1830.00,435.00,35.00,945.00,220.00,185.00,15.00,1830.00,210.00,480.00,570.00,260.00,305.00
5350007.02,4753.00,0.44,2395.00,535.00,20.00,1245.00,335.00,235.00,25.00,2395.00,255.00,660.00,755.00,350.00,375.00
5350008.01,7503.00,0.30,5850.00,2250.00,215.00,1870.00,1110.00,325.00,75.00,5845.00,630.00,1685.00,2130.00,885.00,520.00
5350008.02,9942.00,1.86,6785.00,2115.00,195.00,2520.00,1450.00,400.00,110.00,6785.00,580.00,2495.00,2370.00,745.00,600.00
5350009.00,567.00,0.10,120.00,20.00,0.00,65.00,15.00,10.00,0.00,115.00,10.00,35.00,45.00,20.00,10.00
5350010.01,5428.00,0.26,3495.00,1205.00,105.00,1175.00,745.00,225.00,40.00,3495.00,435.00,1250.00,1140.00,425.00,240.00
5350010.02,7740.00,0.55,4875.00,1230.00,125.00,1335.00,1750.00,370.00,60.00,4875.00,815.00,1930.00,1345.00,455.00,325.00
5350011.00,17549.00,0.98,12975.00,2305.00,165.00,2695.00,7180.00,450.00,180.00,12970.00,3560.00,5595.00,2210.00,905.00,700.00
5350012.01,11658.00,0.42,7785.00,1775.00,200.00,2320.00,3005.00,380.00,115.00,7785.00,860.00,3115.00,2360.00,755.00,700.00
5350012.03,8865.00,0.47,6170.00,1230.00,70.00,1415.00,3245.00,140.00,75.00,6170.00,1250.00,2545.00,1525.00,430.00,420.00
5350012.04,4899.00,0.23,3230.00,705.00,50.00,985.00,1380.00,90.00,20.00,3235.00,430.00,1520.00,840.00,205.00,240.00
