X,Y,CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE
-79.391439021821,43.6974560729963,"5350128.04","0128.04","35",Ontario,"535","35535",Toronto,B
-79.2302604431168,43.7815300136615,"5350363.07","0363.07","35",Ontario,"535","35535",Toronto,B
-79.2683840492696,43.7991492570809,"5350378.23","0378.23","35",Ontario,"535","35535",Toronto,B
-79.2539518999348,43.8040995961013,"5350378.24","0378.24","35",Ontario,"535","35535",Toronto,B
-79.2481514896146,43.777706665779,"5350363.06","0363.06","35",Ontario,"535","35535",Toronto,B
-79.4157981877873,43.642073783882,"5350010.01","0010.01","35",Ontario,"535","35535",Toronto,B
-79.4072102058463,43.6432217604787,"5350010.02","0010.02","35",Ontario,"535","35535",Toronto,B
-79.521333879035,43.7118958401142,"5350282.00","0282.00","35",Ontario,"535","35535",Toronto,B
-79.4849571299145,43.7145432261133,"5350284.00","0284.00","35",Ontario,"535","35535",Toronto,B
-79.4754172549444,43.716898431443,"5350285.00","0285.00","35",Ontario,"535","35535",Toronto,B
-79.4587852914486,43.7203893860052,"5350286.00","0286.00","35",Ontario,"535","35535",Toronto,B
-79.4788819183594,43.7029360864505,"5350280.00","0280.00","35",Ontario,"535","35535",Toronto,B
-79.5415466575112,43.7014557230862,"5350239.00","0239.00","35",Ontario,"535","35535",Toronto,B
-79.2208837172335,43.7364984156136,"5350332.00","0332.00","35",Ontario,"535","35535",Toronto,B
-79.2273176064649,43.7278010539129,"5350333.00","0333.00","35",Ontario,"535","35535",Toronto,B
-79.1636808328403,43.7680502867448,"5350360.00","0360.00","35",Ontario,"535","35535",Toronto,B
-79.2655171909548,43.6919421233229,"5350338.00","0338.00","35",Ontario,"535","35535",Toronto,B
-79.306839463738,43.7621126248624,"5350372.00","0372.00","35",Ontario,"535","35535",Toronto,B
-79.3131085433085,43.7584540034818,"5350373.00","0373.00","35",Ontario,"535","35535",Toronto,B
-79.3851517388024,43.6389518540877,"5350012.04","0012.04","35",Ontario,"535","35535",Toronto,B
-79.2236833676658,43.769148857819,"5350365.00","0365.00","35",Ontario,"535","35535",Toronto,B
-79.2352139686367,43.762079001926,"5350366.00","0366.00","35",Ontario,"535","35535",Toronto,B
-79.4459453153199,43.7377163874769,"5350288.00","0288.00","35",Ontario,"535","35535",Toronto,B
-79.4658913891791,43.7313975123728,"5350289.00","0289.00","35",Ontario,"535","35535",Toronto,B
-79.4286919331684,43.747597851589,"5350298.00","0298.00","35",Ontario,"535","35535",Toronto,B
-79.400807710426,43.7609627468445,"5350300.00","0300.00","35",Ontario,"535","35535",Toronto,B
-79.5372638592454,43.7418366668732,"5350313.00","0313.00","35",Ontario,"535","35535",Toronto,B
-79.43017258166,43.7804057448396,"5350318.00","0318.00","35",Ontario,"535","35535",Toronto,B
-79.4277354476834,43.7882773500323,"5350319.00","0319.00","35",Ontario,"535","35535",Toronto,B
-79.5200687880388,43.7268364456398,"5350292.00","0292.00","35",Ontario,"535","35535",Toronto,B
-79.5357472299946,43.7235570496092,"5350293.00","0293.00","35",Ontario,"535","35535",Toronto,B
-79.4901749462837,43.7379688326153,"5350295.00","0295.00","35",Ontario,"535","35535",Toronto,B
-79.3461806589883,43.78198617418,"5350303.00","0303.00","35",Ontario,"535","35535",Toronto,B
-79.2376233906234,43.7119594344556,"5350334.00","0334.00","35",Ontario,"535","35535",Toronto,B
-79.4461349065313,43.7687820608163,"5350309.00","0309.00","35",Ontario,"535","35535",Toronto,B
