"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15"
3520,2731571.00,630.20,1251055.00,575255.00,57170.00,463000.00,107665.00,34355.00,13610.00,1251055.00,152755.00,354565.00,359230.00,181675.00,202830.00
35200002,356.00,0.05,165.00,95.00,10.00,50.00,0.00,0.00,0.00,165.00,15.00,35.00,30.00,20.00,60.00
35200003,335.00,0.05,120.00,95.00,10.00,25.00,0.00,0.00,0.00,120.00,0.00,30.00,30.00,35.00,25.00
35200004,384.00,0.05,190.00,120.00,25.00,40.00,0.00,0.00,0.00,190.00,35.00,55.00,50.00,25.00,25.00
35200005,408.00,0.04,220.00,165.00,15.00,40.00,0.00,0.00,0.00,220.00,10.00,80.00,50.00,30.00,50.00
35200006,527.00,0.06,195.00,130.00,25.00,40.00,0.00,0.00,0.00,195.00,25.00,40.00,65.00,15.00,45.00
35200007,653.00,0.08,270.00,125.00,15.00,120.00,10.00,0.00,0.00,270.00,10.00,25.00,50.00,45.00,135.00
35200009,293.00,0.06,110.00,70.00,10.00,40.00,0.00,0.00,0.00,110.00,10.00,15.00,35.00,20.00,30.00
35200010,274.00,0.04,175.00,95.00,30.00,50.00,0.00,0.00,0.00,175.00,25.00,40.00,40.00,30.00,40.00
35200012,503.00,0.05,240.00,135.00,10.00,95.00,0.00,0.00,0.00,240.00,25.00,40.00,65.00,20.00,95.00
35200013,59.00,0.01,40.00,25.00,0.00,10.00,0.00,0.00,0.00,40.00,0.00,10.00,20.00,0.00,10.00
35200018,497.00,0.18,55.00,20.00,10.00,25.00,0.00,0.00,0.00,55.00,0.00,10.00,20.00,0.00,15.00
35200028,1174.00,0.12,515.00,270.00,40.00,195.00,10.00,0.00,0.00,515.00,55.00,130.00,145.00,85.00,95.00
35200029,378.00,0.04,185.00,70.00,10.00,115.00,0.00,0.00,0.00,190.00,0.00,35.00,55.00,35.00,60.00
35200030,521.00,0.10,200.00,140.00,15.00,40.00,0.00,0.00,0.00,200.00,20.00,65.00,20.00,40.00,50.00
35200031,1142.00,0.23,470.00,315.00,10.00,140.00,0.00,0.00,10.00,475.00,55.00,80.00,120.00,85.00,125.00
