dauid,population,pop_in_low_inc_hhld_LICO
35204633,1857,200
35204628,368,50
35204629,587,120
35204627,437,70
35204632,504,75
35204631,579,60
35204905,1774,525
35204906,1255,340
35204903,3495,1170
35204904,626,175
35204626,384,30
35204630,383,45
35204617,737,315
35204616,1850,590
35204725,598,65
35204776,1027,300
35204764,116,
35204723,916,70
35204758,935,215
35204759,803,215
35204756,1175,110
35204757,823,70
35204728,560,50
35204901,1014,460
35204902,498,165
35204722,1456,125
35204727,861,60
35204754,2155,715
35204755,1195,265
35204720,1017,80
35204721,726,40
35204718,1027,85
35204719,846,80
35204717,814,55
35204753,574,25
35204726,489,55
35204734,1010,130
35204735,849,85
35204733,827,40
35204738,3894,1390
35204739,474,85
35204736,999,120
35204737,1459,155
35204773,674,100
35204777,1242,330
35204769,1523,85
35204770,1204,150
35204771,647,55
35204772,2099,520
35204767,1365,290
35204765,2155,385
35204766,617,85
35204752,726,25
35204762,738,60
35204763,5206,770
35204761,1206,50
35204760,1139,30
35204741,373,60
35204742,1614,295
35204749,1088,80
35204750,562,40
35204747,1544,230
35204748,899,35
35204746,1383,160
35204744,581,100
35204745,1123,65
35204743,723,95
35204740,1491,405
35204751,528,25
35204572,401,95
35204612,812,220
35204570,572,110
35204571,926,110
35204568,693,160
35204569,620,125
35204566,470,155
35204567,7244,2900
35204564,3044,1195
35204565,1436,375
35204562,577,145
35204563,1533,385
35204611,746,85
35204573,572,95
35204511,608,40
35203342,1399,85
35203344,294,30
35203339,413,45
35203340,1838,815
35202847,927,535
35202848,701,310
35202845,361,80
35202846,290,35
35204610,744,
35202843,453,130
35204608,875,250
35204609,305,120
35204606,4410,1790
35204607,814,235
35204603,668,80
35204605,1190,500
35204601,518,270
35204602,1668,815
35204599,797,310
35204600,934,120
35204597,553,185
35204598,772,240
35204613,560,185
35204596,683,220
35204584,695,230
35202807,769,100
35204582,756,335
35204583,538,125
35204580,965,200
35204581,1052,280
35204578,2527,580
35204579,1612,370
35204576,568,125
35204577,571,55
35204574,1454,390
35204575,610,115
35202548,479,95
35204056,1937,1195
35202535,513,55
35202547,837,125
35202529,1006,250
35202534,1003,115
35202671,2297,360
35202523,511,120
35202514,467,90
35202517,518,65
35202512,499,125
35202513,446,55
35202510,942,310
35202511,699,150
35202670,801,200
35203378,642,60
35202515,552,80
35202516,489,50
35203317,528,25
35203318,645,30
35203315,393,10
35203316,425,10
35204045,1502,345
35203314,562,65
35203296,298,20
35204043,1934,535
35203338,408,45
35204595,1232,505
35203334,447,65
35203337,350,45
35203332,439,35
35203333,710,95
35202672,436,25
35203331,854,305
35203384,536,35
35203385,425,40
35203382,446,40
35203383,389,25
35203381,495,65
35204589,1158,210
35203379,541,65
35203380,480,50
35203377,555,70
35204561,602,70
35203376,248,
35204588,3040,920
35203374,609,75
35203375,308,45
35203372,1472,405
