ctuid,jobs
5350001.00,6770
5350002.00,1630
5350003.00,310
5350004.00,560
5350005.00,1010
5350006.00,90
5350007.01,570
5350007.02,6930
5350008.01,3360
5350008.02,2270
5350009.00,1960
5350010.01,390
5350010.02,5550
5350011.00,58190
5350012.01,1720
5350012.03,13680
5350012.04,2960
5350013.01,12650
5350013.02,13660
5350014.00,118830
5350015.00,27110
5350016.00,9620
5350017.00,5390
5350018.00,1360
5350019.00,680
5350020.00,2510
5350021.00,1240
5350022.00,700
5350023.00,790
5350024.00,850
5350025.00,550
5350026.00,1460
5350027.00,450
5350028.01,1050
5350028.02,1130
5350029.00,1650
5350030.00,1940
5350031.00,480
5350032.00,2140
5350033.00,910
5350034.01,1800
5350034.02,18430
5350035.00,61880
5350036.00,12340
5350037.00,17310
5350038.00,5380
5350039.00,2440
5350040.00,1180
5350041.00,1700
5350042.00,1370
5350043.00,1780
5350044.00,1370
5350045.00,1390
5350046.00,590
5350047.02,730
5350047.03,70
5350047.04,360
5350048.00,930
5350049.00,3070
5350050.01,1220
5350050.03,210
5350050.04,890
5350051.00,970
5350052.00,1630
5350053.00,1560
5350054.00,2850
5350055.00,540
5350056.00,990
5350057.00,1260
5350058.00,950
5350059.00,1770
5350060.00,1640
5350061.00,15400
5350062.01,5100
5350062.02,18550
5350063.03,3180
5350063.04,1560
5350063.05,4410
5350063.06,3830
5350064.00,7740
5350065.01,460
5350065.02,350
5350066.00,1490
5350067.00,480
5350068.00,740
5350069.00,1690
5350070.00,1240
5350071.00,970
5350072.01,960
5350072.02,900
5350073.00,1030
5350074.00,340
5350075.00,700
5350076.00,670
5350077.00,620
5350078.00,520
5350079.00,1420
5350080.01,970
5350080.02,910
5350081.00,810
5350082.00,510
5350083.00,950
5350084.00,1270
5350085.00,1060
5350086.00,490
5350087.00,1570
5350088.00,11780
5350089.00,12780
5350090.00,2400
5350091.01,4880
5350091.02,1360
5350092.00,1900
5350093.00,1900
5350094.00,1360
5350095.00,410
5350096.01,240
5350096.02,660
5350097.01,860
5350097.03,450
5350097.04,620
5350098.00,1370
5350099.00,1060
5350100.00,710
5350101.00,1140
5350102.02,170
5350102.03,170
5350102.04,20
5350102.05,10
5350103.00,1200
5350104.00,1260
5350105.00,770
5350106.00,3860
5350107.00,440
5350108.00,1040
5350109.00,900
5350110.00,590
5350111.00,120
5350112.00,590
5350113.00,540
5350114.00,1190
5350115.00,330
5350116.00,3320
5350117.00,1650
5350118.00,1470
5350119.00,1010
5350120.00,950
5350121.00,4350
5350122.00,2870
5350123.00,110
5350124.00,5420
5350125.00,380
5350126.00,1040
5350127.00,1910
5350128.02,4350
5350128.04,2500
5350128.05,420
5350128.06,500
5350129.00,7580
5350130.00,1650
5350131.00,720
5350132.00,980
5350133.00,620
5350134.00,750
5350135.00,5390
5350136.01,650
5350136.02,4670
5350137.00,1520
5350138.00,430
5350139.01,750
5350139.02,390
5350140.00,150
5350141.01,1150
5350141.02,1020
5350142.00,1350
5350150.00,370
5350151.00,140
5350152.00,1150
5350153.00,1130
5350154.00,320
5350155.00,500
5350156.01,380
5350156.02,580
5350157.00,330
5350158.00,900
5350159.01,510
5350159.02,220
5350160.00,250
5350161.00,380
5350162.00,690
5350163.00,270
5350164.00,430
5350165.00,260
5350166.00,770
5350167.01,390
5350167.02,520
5350168.00,600
5350169.01,280
5350169.02,390
5350170.00,2950
5350171.00,1090
5350172.00,2290
5350173.00,340
5350174.00,1610
5350175.01,890
5350175.02,1850
5350176.00,2830
5350180.00,1010
5350181.01,220
5350181.02,280
5350182.00,2260
5350183.01,760
5350183.02,160
5350184.01,330
5350184.02,240
5350185.01,780
5350185.02,350
5350186.00,740
5350187.00,390
5350188.00,330
5350189.00,560
5350190.01,380
5350190.02,150
5350191.00,430
5350192.00,3000
5350193.00,180
5350194.01,80
5350194.02,830
5350194.03,950
5350194.04,6780
5350195.01,460
5350195.02,670
5350196.01,200
5350196.02,1100
5350200.01,470
5350200.02,20
5350201.00,550
5350202.00,240
5350203.00,650
5350204.00,530
5350205.00,880
5350206.01,640
5350206.02,670
5350207.00,460
5350208.00,2180
5350209.00,570
5350210.01,7560
5350210.02,890
5350211.00,4400
5350212.00,1020
5350213.01,1100
5350213.02,21380
5350214.00,7760
5350215.00,3980
5350216.00,380
5350217.00,380
5350218.00,840
5350219.00,400
5350220.00,540
5350221.01,620
5350221.02,1800
5350222.01,910
5350222.02,1820
5350223.01,60
5350223.02,410
5350224.00,320
5350225.01,5290
5350225.02,550
5350226.00,750
5350227.00,540
5350228.00,480
5350229.00,400
5350230.01,520
5350230.02,230
5350231.00,750
5350232.00,650
5350233.00,660
5350234.00,470
5350235.01,300
5350235.02,550
5350236.01,2550
5350236.02,1910
5350237.01,110
5350237.02,200
5350237.03,480
5350238.01,470
5350238.02,500
5350239.00,1000
5350240.01,640
5350240.02,710
5350241.00,520
5350242.00,30
5350243.01,270
5350243.02,920
5350244.01,690
5350244.02,200
5350245.00,670
5350246.00,620
5350247.01,32680
5350247.02,4070
5350248.02,690
5350248.03,7620
5350248.04,2620
5350248.05,2270
5350249.01,240
5350249.03,4430
5350249.04,240
5350249.05,1230
5350250.01,560
5350250.02,760
5350250.04,60
5350250.05,440
5350260.01,1240
5350260.04,430
5350260.05,220
5350260.06,2780
5350260.07,70
5350261.00,3580
5350262.01,250
5350262.02,2550
5350263.02,7630
5350263.03,6730
5350263.04,2640
5350264.00,590
5350265.00,10240
5350266.00,1930
5350267.00,580
5350268.00,7010
5350269.01,180
5350269.02,380
5350270.01,550
5350270.02,160
5350271.01,1040
5350271.02,410
5350272.01,110
5350272.02,260
5350273.01,10470
5350273.02,530
5350274.01,470
5350274.02,4280
5350275.00,3930
5350276.01,1330
5350276.02,1640
5350277.00,1210
5350278.00,960
5350279.01,940
5350279.02,3700
5350280.00,3570
5350281.01,810
5350281.02,70
5350282.00,1920
5350283.01,510
5350283.02,180
5350284.00,380
5350285.00,610
5350286.00,18970
5350287.02,2160
5350287.03,300
5350287.04,990
5350288.00,4080
5350289.00,1520
5350290.01,6150
5350290.02,670
5350291.02,510
5350291.03,160
5350291.04,750
5350292.00,4120
5350293.00,440
5350294.01,100
5350294.02,230
5350295.00,370
5350296.00,5830
5350297.01,1260
5350297.02,930
5350298.00,750
5350299.01,1580
5350299.02,7030
5350300.00,4110
5350301.01,430
5350301.03,250
5350301.04,16350
5350302.01,600
5350302.02,430
5350302.03,80
5350303.00,4010
5350304.01,30
5350304.02,550
5350304.03,170
5350304.04,120
5350304.05,220
5350304.06,350
5350305.01,2000
5350305.03,1810
5350305.04,4070
5350306.01,210
5350306.02,1070
5350307.03,1930
5350307.04,4590
5350307.05,300
5350307.06,310
5350307.07,4170
5350308.02,350
5350308.03,230
5350308.04,9080
5350309.00,850
5350310.01,360
5350310.02,1700
5350311.02,290
5350311.03,250
5350311.04,400
5350311.05,260
5350311.06,33990
5350312.02,130
5350312.03,1630
5350312.04,1020
5350312.05,700
5350312.06,340
5350312.07,100
5350313.00,4640
5350314.01,360
5350314.02,170
5350315.01,200
5350315.02,360
5350315.03,17110
5350316.01,2590
5350316.03,650
5350316.04,160
5350316.05,180
5350316.06,70
5350317.02,350
5350317.03,1990
5350317.04,190
5350317.05,360
5350318.00,6140
5350319.00,880
5350320.01,600
5350320.02,1190
5350321.01,570
5350321.02,570
5350322.01,1720
5350322.02,1250
5350323.01,520
5350323.02,900
5350324.01,390
5350324.02,820
5350324.03,9680
5350324.05,130
5350324.06,200
5350330.00,2390
5350331.01,580
5350331.03,440
5350331.04,610
5350332.00,860
5350333.00,790
5350334.00,730
5350335.00,1170
5350336.00,570
5350337.01,470
5350337.02,390
5350338.00,790
5350339.00,1310
5350340.00,360
5350341.02,1200
5350341.03,80
5350341.04,440
5350342.00,1510
5350343.00,870
5350344.01,640
5350344.02,110
5350345.00,200
5350346.01,630
5350346.02,300
5350347.00,5870
5350348.00,5540
5350349.00,1110
5350350.00,9770
5350351.01,600
5350351.02,240
5350352.00,430
5350353.02,500
5350353.03,150
5350353.04,560
5350354.00,620
5350355.02,560
5350355.04,750
5350355.05,120
5350355.06,50
5350356.00,1250
5350357.01,560
5350357.02,190
5350358.01,310
5350358.02,190
5350358.03,760
5350359.00,1800
5350360.00,1400
5350361.01,460
5350361.02,430
5350362.01,720
5350362.02,510
5350362.03,2190
5350362.04,410
5350363.02,110
5350363.04,280
5350363.05,270
5350363.06,5310
5350363.07,5100
5350364.01,2300
5350364.02,240
5350365.00,800
5350366.00,720
5350367.01,200
5350367.02,210
5350368.01,8240
5350368.02,2810
5350369.00,3630
5350370.01,5220
5350370.02,5430
5350370.03,450
5350371.00,5880
5350372.00,360
5350373.00,1030
5350374.01,660
5350374.02,330
5350374.03,130
5350375.01,320
5350375.02,290
5350375.03,730
5350375.04,320
5350375.05,440
5350376.01,220
5350376.02,520
5350376.04,2650
5350376.05,340
5350376.06,6090
5350376.08,1270
5350376.09,1730
5350376.11,360
5350376.12,810
5350376.13,420
5350376.14,310
5350376.15,150
5350376.16,1110
5350377.01,3020
5350377.02,1380
5350377.03,90
5350377.04,150
5350377.06,210
5350377.07,490
5350378.02,2880
5350378.03,5870
5350378.04,1050
5350378.05,120
5350378.06,2170
5350378.07,6730
5350378.08,120
5350378.11,620
5350378.12,610
5350378.14,1240
5350378.16,180
5350378.17,80
5350378.18,60
5350378.19,7190
5350378.20,190
5350378.21,120
5350378.22,160
5350378.23,2520
5350378.24,2050
5350378.25,6120
5350378.26,110
5350378.27,3710
5350378.28,270
5350400.02,330
5350400.03,140
5350400.04,390
5350400.06,180
5350400.07,1010
5350400.08,3150
5350400.11,1140
5350400.12,250
5350400.13,820
5350400.14,240
5350400.15,650
5350400.16,220
5350400.17,180
5350400.18,40
5350400.19,2910
5350400.20,130
5350400.21,20
5350400.22,880
5350400.23,1390
5350401.04,350
5350401.05,31670
5350401.06,650
5350401.07,1010
5350401.08,260
5350401.09,3900
5350401.10,11520
5350401.11,200
5350401.13,300
5350401.14,800
5350401.15,2720
5350401.17,260
5350401.18,13280
5350401.19,2420
5350401.20,170
5350401.21,140
5350401.22,1830
5350401.23,120
5350402.01,5650
5350402.02,2170
5350402.03,360
5350402.04,390
5350402.05,340
5350402.06,870
5350402.07,410
5350402.08,750
5350402.09,830
5350402.10,1220
5350402.12,16780
5350402.13,300
5350403.01,810
5350403.04,2730
5350403.05,800
5350403.07,530
5350403.09,380
5350403.10,200
5350403.11,740
5350403.12,950
5350403.13,980
5350403.14,610
5350403.15,1980
