,Transit excluding GO rail,Cycle,Auto driver,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
0,0,124,3780,0,0,0,30,967,52,0,0,4782
1,208,614,19526,0,0,14,18,5122,774,22,64,4669
2,355,63,15340,0,0,0,78,3765,545,21,22,1211
3,246,42,11664,0,0,0,0,2452,1117,28,6,173
4,169,17,7400,0,0,0,0,1945,829,22,26,170
5,127,0,4731,0,0,0,0,961,397,0,0,0
6,43,0,2969,0,0,0,0,424,256,38,0,0
7,21,0,1402,0,0,0,0,505,49,0,0,0
8,46,0,849,0,0,0,0,117,0,0,0,0
9,55,0,1689,0,0,0,0,537,151,7,0,0
10,0,0,2468,0,0,0,0,351,64,0,0,0
11,87,0,2928,0,0,0,10,503,250,0,0,0
12,22,0,3066,0,0,0,0,829,470,0,0,0
13,120,0,4658,0,0,0,0,637,193,0,0,0
14,83,0,4281,0,0,0,0,432,204,0,0,0
15,172,0,4605,10,0,33,0,448,92,0,71,0
16,51,0,5259,0,10,0,0,759,136,0,0,0
17,166,0,3897,0,0,0,0,571,55,0,0,0
18,112,0,3098,0,0,0,0,291,31,40,0,0
19,14,0,3765,0,32,0,0,306,42,0,0,0
20,46,0,2630,0,0,0,0,433,0,0,0,0
21,15,0,2846,28,0,0,0,597,0,0,0,0
22,0,0,2607,0,0,0,0,275,0,0,0,0
23,0,0,2278,0,53,0,0,285,0,0,0,47
24,22,0,2523,0,0,0,0,81,0,0,0,0
25,37,0,1706,0,0,0,0,163,160,0,0,0
26,55,0,2018,0,0,0,0,164,0,63,0,0
27,122,0,1948,0,43,0,45,154,0,0,0,0
28,82,0,1819,0,7,0,0,392,0,0,0,0
29,33,0,2021,28,55,0,0,202,0,0,0,0
30,67,0,1839,9,0,0,0,142,0,0,0,0
31,103,0,1861,13,0,0,0,272,0,0,0,0
32,55,0,1185,0,0,0,0,218,0,0,0,0
33,26,0,889,0,0,0,0,167,0,0,0,0
34,61,0,629,40,0,0,0,42,54,0,0,0
35,16,0,636,17,26,0,0,17,0,0,0,0
36,0,0,1247,17,0,0,0,64,0,0,0,0
37,0,0,682,85,0,0,0,56,0,8,0,0
38,0,0,641,9,37,0,0,7,0,0,0,0
39,261,0,661,192,259,0,0,31,0,0,0,0
40,332,0,1311,301,169,0,0,161,34,0,0,0
41,94,0,823,708,247,0,0,0,0,0,0,0
42,153,0,965,293,148,0,0,62,0,0,0,0
43,228,0,689,245,110,0,0,22,0,7,0,0
44,157,0,650,381,175,0,0,106,0,0,0,0
45,134,0,404,101,109,0,0,0,0,0,0,0
46,50,0,567,0,0,0,0,0,0,0,0,0
47,109,0,282,10,41,0,0,38,0,0,0,0
48,81,0,415,0,0,0,0,185,0,0,0,0
49,0,0,468,0,0,0,0,16,0,0,0,0
50,0,0,286,41,10,0,0,25,0,0,0,0
51,0,0,361,0,0,0,0,0,0,0,0,0
52,0,0,353,17,18,0,0,0,0,0,0,0
53,0,0,212,0,0,0,0,0,0,0,0,0
54,0,0,370,0,0,0,0,0,0,0,0,0
55,0,0,403,0,0,0,0,57,0,0,0,0
56,119,0,488,0,0,0,0,46,0,0,0,17
57,0,0,282,57,0,0,0,0,0,0,0,0
58,0,0,105,0,0,0,0,0,0,0,0,0
59,32,0,107,0,0,0,0,127,0,0,0,0
60,0,0,179,0,0,0,0,0,0,0,0,0
61,0,0,13,0,0,0,0,13,0,0,0,0
62,0,0,49,0,0,0,0,0,0,0,0,0
63,0,0,21,0,0,0,0,0,0,0,0,0
64,0,0,186,0,0,0,0,9,0,0,0,0
65,0,0,154,0,0,0,0,0,0,0,0,0
66,0,0,55,0,0,0,0,0,0,0,0,0
68,0,0,58,0,0,0,0,0,0,0,0,0
71,0,0,53,0,0,0,0,0,0,0,0,0
72,0,0,92,0,0,0,0,157,0,0,0,0
75,0,0,30,0,0,0,0,0,0,0,0,0
76,0,0,59,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,3,0,0,0,0
78,0,0,138,0,0,0,0,0,0,0,0,0
79,0,0,3,0,0,0,0,33,0,0,0,0
80,0,0,3,0,0,0,0,0,0,0,0,0
82,0,0,53,0,0,0,0,0,0,0,0,0
84,0,0,27,0,0,0,0,0,0,0,0,0
85,0,0,65,0,0,0,0,76,0,0,0,0
86,0,0,43,0,0,0,0,0,0,0,0,0
87,0,0,56,0,0,0,0,37,0,0,0,0
88,0,0,15,0,0,0,0,23,0,0,0,0
90,0,0,0,0,0,0,0,80,0,0,0,0
91,0,0,13,0,0,0,0,0,0,0,0,0
94,0,0,59,0,0,0,0,41,0,0,0,0
98,0,0,134,0,0,0,0,43,0,0,0,0
100,0,0,10,0,0,0,0,0,0,0,0,0
104,0,0,35,0,0,0,0,0,0,0,0,0
118,0,0,26,0,0,0,0,0,0,0,0,0
125,0,0,30,0,0,0,0,0,0,0,0,0
